"lang" 
{ 
"Language" "Arabic" 
"Friends_FriendInvitedToGame_Info"	"הזמנה להצטרף למשחק נשלחה ל-%friend% ."

"Friends_NotifyFriendOnline_Title"	"%friend% - התראה על חברים מחוברים לרשת"
"Friends_NotifyFriendOnline_Info"		"חברך %friend% מחובר לרשת."

"Friends_RefreshLogin_Title"			"Steam - רענן התחברות"
"Friends_RefreshLogin"				"אנא הזן שוב את פרטים התחברות Steam שלך כדי להתחבר לחברים."
"Friends_AccountName"					"שם חשבון"
"Friends_Login_Btn"					"התחברות"
"Friends_Login_Password"				"סיסמה"

"Friends_BetaHomePage"				"דף מידע בטא של חברים"

"Friends_PleaseSetFriendsName"		"לא נקבע שם פרופיל שלך."
"Friends_SetFriendsName"				"שנה שם פרופיל..."

"Friends_TargetBlocked"				"הגדרות הפרופיל של משתמש זה מונעות ממך ליצור איתו קשר כרגע."
"Friends_TargetIgnored"				"%search% מתעלם ממך."
"Friends_TooManyFriends"				"רשימת החברים שלך מלאה! הסר כמה חברים ונסה שוב."
"Friends_TargetHasTooManyFriends"		"רשימת החברים של %search% מלאה!"
"Friends_DefaultAddError"	 			"נמצאה בעיה בהוספת %search% לרשימת החברים שלך."
"Friends_UnableToFindFriendByThatNameInvitePrompt"		"לא ניתן למצוא משתמש Steam עם כתובת דואר אלקטרוני %search%.\n\nאם תרצה להזמין את %search% להצטרף ל-Steam ולרשימת החברים שלך, לחץ על 'הבא', או לחץ על 'חזור' כדי לחפש שוב."
"Friends_InvitingFriend"				"שליחת הזמנה ל-%search%..."
"Friends_InvitationPending"			"%search% הוזמן לאחרונה להצטרף ל-Steam; כאשר יגיב, הוא יתווסף לרשימת החברים שלך.\n"
"Friends_InvitationSent"				"%search% קיבל הזמנת דוא\"ל, ויוסיף לרשימת החברים שלך כאשר יגיב.\n"
"Friends_DefaultInviteError"			"נמצאה בעיה בשליחת הזמנה ל-%search%." 
"Friends_TooManyPendingInvitations"   "שלחת יותר מדי הזמנות לאחרונה. נסה להזמין את %search% שוב בעוד יום או יומיים."
"Friends_InvitationBlocking"		"אתה חוסם כל תקשורת עם משתמש זה. לפני התקשרות עם משתמש זה, עליך לפתוח אותו על ידי ביקור בפרופיל הקהילה שלו ב-Steam."

"Friends_DontGiveOutPassword"			"לעולם אל תגלה את הסיסמה שלך לאף אחד.\n"
"Friends_DontGiveOutPassword_URL"		"https://support.steampowered.com/kb/1266-OAFV-8478/"

"Friends_ChatFilterBlockWarning"		"קישור הוסר מההודעה הבאה לשם האבטחה שלך."

"Friends_invalidname_title"			"חברים - שם שמור"
"Friends_invalidname_info"			"לא ניתן להשתמש בשם '[unknown]' או בשמות 'Valve', 'Steam' או 'Support'. אנא בחר שם אחר."

"Friends_JoinGame_Dialog"				"נכשל במציאת משחק עבור %friend%"
"Friends_Friendlist_Friends"			"חברים"
"Friends_Friendlist_OtherFriends"		"חברים"
"Friends_Friendlist_AllFriends"			"כל החברים"
"Friends_FriendList_Pendings"			"הזמנות נשלחות"
"Friends_FriendList_InvitesReceived"	"הזמנות"
"Friends_Friendlist_Members"			"חברים"
"Friends_Friendlist_Guests"			"אורחים"
"Friends_Friendlist_Chat"				"צ'אט"
"Friends_ViewSteamIDPage"				"צפה בפרופיל Steam"
"Friends_ViewFacebookIDPage"			"צפה בדף Facebook"
"Friends_Tooltip_GroupOfficer"		"קצין קבוצה"
"Friends_Tooltip_GroupModerator"		"מנהל קבוצה"

"Friends_InviteFriendToGroup"			"הזמן לקבוצה"
"Friends_InviteToGroupConfirmation_Title"	"חברים - הזמנה נשלחה"
"Friends_InviteToGroupConfirmation_Info"	"הזמנתך של %friend% לקבוצה %group% נשלחה."

"Friends_menu_status"				"סטטוס"
"Friends_menu_view"				"צפה"
"Friends_menu_players"				"שחקנים"
"Friends_menu_view_showavatars"			"הראה अवतારים"
"Friends_menu_view_showsteamids"		"הראה מזהים חשבון"
"Friends_menu_view_sortbyname"			"מיין לפי שם"
"Friends_menu_view_onlineonly"			"הצג רק משתמשים מחוברים"
"Friends_menu_view_settings"			"הגדרות..."
"Friends_menu_players_current"			"רשימת שחקנים - משחק נוכחי"
"Friends_menu_players_recent"			"רשימת שחקנים - משחקים אחרונים"


"Friends_JoinGroupChat"				"הצטרף לצ'אט של %group%"

"Friends_Chat_MemberNameChanged" "%old_name% שינה את שמו ל-%member_name%.\n"

"Friends_Chat_MemberEntered"							"%member_changed% נכנס לצ'אט.%ignored%\n"
"Friends_Chat_MemberLeft"								"%member_changed% עזב צ'אט.%ignored%\n"
"Friends_Chat_MemberDisconnected"						"%member_changed% התנתק.%ignored%\n"
"Friends_Chat_MemberWasKicked"						"%member_changed% גורש על ידי %member_making_change%.\n"
"Friends_Chat_MemberWasBanned"						"%member_changed% נחסם על ידי %member_making_change%.\n"
"Friends_Chat_MemberIgnored"						"(חסום.)"	

"Friends_Chat_InviteToChatRoom"							"הזמן לצ'אט"
"Friends_Chat_InviteToChatRoom_Title"					"קהילה של Steam - הזמנה לצ'אט"
"Friends_Chat_InviteToChatRoom_Info"					"הוזמנת להצטרף לצ'אט %chat% על ידי %patron%."
"Friends_Chat_InviteToPrivateChatRoom_Info"				"הוזמנת להצטרף לצ'אט פרטי עם %patron%."
"Friends_Chat_InviteReceivedTime"						"הזמנה התקבלה: %date% בשעה %time%"

"Friends_Chat_KickFromChatRoom"       "גירוש מצ'אט"
"Friends_Chat_BanFromChatRoom"        "חסימה מצ'אט"

"Friends_Chat_ToggleAvatars"			"הצג अवतારים"
"Friends_Chat_ToggleBeeps"            "צלצל כאשר משתמשים שולחים הודעות"
"Friends_Chat_ToggleTimestamp"        "הצג חותמת זמן בכל הודעה"

"Friends_Chat_ManageBanList"			"נהל רשימה חסומה"
"Friends_Chat_LockRoom"				"נעול חדר זה (הפוך לפרטי)"
"Friends_Chat_OpenRoom"               "פתח חדר זה (הפוך לציבורי)"

"Friends_Chat_DeniedChat_Title"		"Steam - לא ניתן להיכנס לחדר צ'אט"
"Friends_Chat_DeniedChat_DoesntExist" "חדר הצ'אט %chat% נסגר."
"Friends_Chat_DeniedChat_NotAllowed"  "אין לך הרשאות נדרשות כדי להיכנס לחדר הצ'אט %chat%."
"Friends_Chat_DeniedChat_Full"        "חדר הצ'אט %chat% מלא."
"Friends_Chat_DeniedChat_Error"       "שגיאה בניסיון להצטרף לחדר הצ'אט %chat%."
"Friends_Chat_DeniedChat_Banned"       "לא ניתן להיכנס לחדר הצ'אט %chat%, מכיוון שאתה חסום בחדר זה."
"Friends_Chat_DeniedChat_UserLocked"       "לא ניתן להיכנס לחדר הצ'אט %chat%, מכיוון שהרשאות הצ'אט שלך הושעו זמנית."
"Friends_Chat_DeniedChat_ClanLocked"       "לא ניתן להיכנס לחדר הצ'אט %chat%, מכיוון שהוא נוטרל מנהלית."

"Friends_Chat_ActionResultTitleSuccess"   "פעולה בוצעה בהצלחה"
"Friends_Chat_ActionResultInviteSuccess"  "%user_name% הוזמן לצ'אט.\n"
"Friends_Chat_ActionResultKickSuccess"    "%user_name% גורש.\n"
"Friends_Chat_ActionResultBanSuccess"     "%user_name% חוסם.\n"
"Friends_Chat_ActionResultUnBanSuccess"   "%user_name% כבר לא חסום.\n"

"Friends_Chat_ActionResultLockChatSuccess"	"צ'אט נעול כעת (רק חברים בקבוצה או משתמשים שהוזמנו יכולים להצטרף).\n"
"Friends_Chat_ActionResultUnlockChatSuccess"	"צ'אט פתוח כעת לכל המשתמשים.\n"

"Friends_Chat_ActionResultTitleFailed"    "פעולה נכשלה"
"Friends_Chat_ActionResultInviteFailed"   "ניסיון להזמין משתמש %user_name% לצ'אט %chat% נכשל.\n%action_result%"
"Friends_Chat_ActionResultKickFailed"     "ניסיון להעיף משתמש %user_name% מהצ'אט %chat% נכשל.\n%action_result%"
"Friends_Chat_ActionResultUnBanFailed"    "ניסיון לבטל את החסימה של משתמש %user_name% מהצ'אט %chat% נכשל.\n%action_result%"
"Friends_Chat_ActionResultLockChatFailed"	"ניסיון לנעול צ'אט %chat% נכשל\n%action_result%."
"Friends_Chat_ActionResultUnlockChatFailed"	"ניסיון לפתוח (לשחרר) את הצ'אט %chat% נכשל\n%action_result%."
"Friends_Chat_ActionResultCloseFailed"	"ניסיון לסגור את הצ'אט %chat% נכשל\n%action_result%."


"Friends_Chat_ActionResultError"						"שגיאה לא ידועה"
"Friends_Chat_ActionResultNotPermitted"				"אין לך הרשאות לבצע פעולה זו."
"Friends_Chat_ActionResultNotAllowedOnClanMember"     "פעולה זו אסורה לחבר שבשבט אלא אם כן יש לך דרגה גבוהה יותר."
"Friends_Chat_ActionResultNotAllowedOnBannedUser"     "פעולה זו אסורה למשתמש חסום."
"Friends_Chat_ActionResultManageBans"					"נהל את רשימת החסימה של חדר הצ'אט."
"Friends_Chat_ActionResultNotAllowedOnChatOwner"      "פעולה זו אסורה לבעל הצ'אט."
"Friends_Chat_ActionResultNotAllowedOnSelf"           "פעולה זו אסורה עליך."
"Friends_Chat_ActionResultChatDoesntExist"			"הצ'אט נסגר."
"Friends_Chat_ActionResultChatFull  "					"הצ'אט מלא."
"Friends_Chat_ActionResultNotOnline"                  "פעולה זו אינה אפשרית בזמן שאינך מחובר."


"Friends_Chat_Kicked_Title"           "הועפת מהצ'אט"
"Friends_Chat_Kicked_Info"            "הועפת מהצ'אט %chat% על ידי %member_making_change%."
"Friends_Chat_Kicked_Entry"			"הוסרת מהצ'אט על ידי %member_making_change%.\n"

"Friends_Chat_Banned_Title"           "חוצץ מצ'אט"
"Friends_Chat_Banned_Info"            "נחסמת מצ'אט %chat% על ידי %member_making_change%."
"Friends_Chat_Banned_Entry"			"נחסמת מהצ'אט על ידי %member_making_change%.\n"

"Friends_Chat_Closed_Title"           "צ'אט נסגר"
"Friends_Chat_Closed_Info"            "הצ'אט %chat% נסגר."
"Friends_Chat_Closed_Entry"           "הצ'אט נסגר.\n"

"Friends_Chat_Offline_Entry"           "מצבך שונה למנותק.\n"
"Friends_Chat_Offline_Rejoin_Entry"    "מחובר עכשיו וצורף לצ'אט.\n"

"Friends_Chat_FailedRejoin_Entry"			"כשלון בצירה מחדש לצ'אט.\n"
"Friends_Chat_FailedRejoin_Rejoin_Entry"	"צורפת מחדש לצ'אט.\n"

"Friends_Chat_Disconnected_Entry"           "איבדת חיבור לSteam, יצרף מחדש לצ'אט אוטומטית כאשר החיבור יתחדש.\n"
"Friends_Chat_Disconnected_Rejoin_Entry"    "חובר שוב וצורף לצ'אט.\n"

"Friends_Chat_DisconnectedNoRetry_Entry"     "אין חיבור לSteam.\n"

"Friends_Chat_RoomLocked_Entry"		"החדר צ'אט נעול על ידי %member_making_change%.\n"
"Friends_Chat_RoomUnlocked_Entry"		"החדר צ'אט נפתח על ידי %member_making_change%.\n"

"Friends_Chat_RackBouncing_Entry"		"שרתי Steam עומדים להתאפס מחדש בקרוב. החיבור לחדר צ'אט זה יושב לאחר האתחול.\n"

"Friends_MsgNotification_Sender"		"%name% אומר,"
"Friends_MsgNotification_Body"		"%message%"

"Friends_AddUser"				"הוסף לרשימת חברים..."
"Friends_HideUser"				"התעלם מהמשתמש..."

"Friends_Voice_Call"				"התחל צ'אט קול"
"Friends_Voice_EndCall"			"סיים צ'אט קול"
"Friends_Voice_CancelCall"		"בטל שיחה"
"Friends_Voice_Hold"				"החזק"
"Friends_Voice_IncomingVoice"		"שיחת וידאו מ-%friend% החלה."
"Friends_Voice_HangUp"			"שיחת וידאו עם %friend% הסתיימה."
"Friends_Voice_AudioSettings"		"הגדרות"
"Friends_Voice_Answer"			"ענה"
"Friends_Voice_IncomingStatus"	"%friend% רוצה לשוחח באמצעות קול."
"Friends_Voice_OutgoingStatus"	"מצלצל ל-%friend%..."
"Friends_Voice_Resume"			"המשך"
"Friends_Voice_ResumeStatusLocalHold"		"בהמתנה"
"Friends_Voice_ResumeStatusRemoteHold"	"%friend% הפסיק את צ'אט הקול הזה"
"Friends_Voice_AudioOptionsTitle"		"הגדרות שמע"
"Friends_Voice_Microphone_Volume"		"עוצמת מיקרופון:"
"Friends_Voice_Speaker_Volume"		"עוצמת קבלה:"
"Friends_Voice_BoostMicrophone"		"הגבר עוצמת מיקרופון"
"Friends_Voice_TestMicrophone"		"בדוק מיקרופון"
"Friends_Voice_StopTestMicrophone"	"הפסק בדיקת מיקרופון"
"Friends_Voice_RejectCall"		"התעלם"
"Friends_Voice_ReinitAudio"		"תיקון שמע"
"Friends_Voice_UsersChatting"			"%UsersChatting% משתמשים בצ'אט קול"
"Friends_Voice_UsersChattingPlural"	"%UsersChatting% משתמשים בצ'אט קול"
"Friends_Voice_NoOtherUsersChatting"	"אין משתמשים אחרים בצ'אט קול"
"Friends_Voice_AllSlotsFull"			"%UsersChatting% משתמשים בצ'אט קול (מלא)"

"Friends_Chat_StartVoiceChatting"		"התחל צ'אט קול"
"Friends_Chat_EndVoiceChatting"		"סיים צ'אט קול"
"Friends_Chat_ActionResultStartVoiceSpeak" "מתחיל צ'אט קול בשיחה %chat%."
"Friends_Chat_ActionResultEndVoiceSpeak"	"מסיים צ'אט קול בשיחה %chat%."
"Friends_Chat_VoiceSpeakDenied"		"לא ניתן להתחיל צ'אט קול ב-%chat%, אין מספיק מקומות פנויים לדיבור."
"Friends_Chat_ActionResultVoiceSlotsFull" "לא ניתן להתחיל צ'אט קול ב-%chat%, אין מספיק מקומות פנויים לדיבור."
"Friends_Chat_VoiceStatus"		"%availslots% מקומות פנויים [%maxslots% בסך הכל]."

"Friends_GroupSectionInfo_Offline"				""
"Friends_GroupSectionInfo_Online"					"%online% מחובר"
"Friends_GroupSectionInfo_OnlineInGame"			"%ingame% במשחק, %online% מחובר"
"Friends_GroupSectionInfo_OnlineChatting"			"%inchat% בשיחה, %online% מחובר"
"Friends_GroupSectionInfo_OnlineInGameChatting"	"%inchat% בשיחה, %ingame% במשחק, %online% מחובר"

"Friends_GroupSectionInfo_PublicGroup"	"%groupname% (קבוצה ציבורית)"

"Friends_ViewGroupSteamID"			"צפה בפרופיל הקבוצה"
"Friends_JoinGroupChatRoom"			"הצטרף לחדר השיחה של הקבוצה"
"Friends_OpenAdministerGroupPage"		"נהל קבוצה זו"
"Friends_LeaveThisGroup"				"עזוב קבוצה זו"

"Friends_SteamIDLink"					"צפה בפרופיל"
"Friends_EditAlias"						"ערוך כינוי..."
"Friends_UnsetAlias"					"אפס"
"Friends_ViewAliases"					"צפה בכינויים"
"Friends_NotificationOptions"			"אפשרויות התראות"
"Friends_FriendList_Suggested"			"חברים מומלצים"

"Friends_FriendAliases_Title"			"חברים - %FriendName%"
"Friends_FriendAliasesInfo"			"ראית את %FriendName% משתמש בשמות אלה:"
"Friends_FriendAliases_None"			"השחקן הזה לא השתמש בשמות אחרים."


"Friends_Settings_TabTitle"			"חברים"
"Friends_Nickname"					"שם פרופיל"
"Friends_Avatar"						"תמונה"
"Friends_AutoSignIntoFriendsOnStartup"	"התחבר אוטומטית לחברים בעת הפעלת Steam"
"Friends_ShowTimeInChatLog"	"הצג תאריכי זמן ביומן השיחה"
"Friends_AlwaysNewChatCheck" "פתח תמיד חלון שיחה חדש במקום לשונית "
"Friends_NotificationsAndSounds"		"התראות וקולות"
"Friends_WhenFriendJoinsGame"			"כאשר חבר כלשהו מצטרף למשחק"
"Friends_WhenFriendComesOnline"		"כאשר חבר כלשהו מתחבר"
"Friends_WhenReceiveMessage"			"כשהודעה מגיעה אלי"
"Friends_WhenGroupEventsOrAnnouncementsHappen"	"לאירועים ופרסומים של קבוצות"
"Friends_DisplayNotification"			"הצג התראה"
"Friends_PlayASound"					"נגן צליל"
"Friends_FlashWindow"			"הבהב חלון כשמגיעה הודעה"
"Friends_FlashWindowAlways"		"תמיד"
"Friends_FlashWindowMinimized"		"רק כשהוא ממוזער"
"Friends_FlashWindowNever"		"לעולם לא"
"Friends_ViewSteamCommunityProfile"	"צפה בפרופיל Steam Community שלי"
"Friends_ChangeAvatar"				"שנה"
"Friends_NameTooShort_Title"			"חברים - שם פרופיל קצר מדי"
"Friends_NameTooShort_Info"			"שדה שם הפרופיל חייב להכיל לפחות שני תווים."
"Friends_NameChangeFailed_Title"		"חברים - שינוי שם פרופיל נכשל"
"Friends_NameChangeFailed_Info"		"נכשל בשינוי שם הפרופיל. אנא נסה שוב בעוד מספר דקות."
"Friends_NameChangeThrottled_Info"		"שינויים תכופים מאוד בשם הפרופיל אינם מורשים. אנא נסה שוב בעוד מספר דקות."

"Friends_OnlineNotification_Info"			"מחובר עכשיו"
"Friends_InGameNotification_Info"			"משחק עכשיו"
"Friends_InAppNotification_Info"			"משתמש עכשיו ב-"
"Friends_ChatInvitation_Info"				"הזמין אותך לצ'אט עם"
"Friends_VoiceChatInvitation_Info"		"הזמין אותך לצ'אט קול"
"Friends_ChatNotification_Info"			"אומר:"
"Friends_PostNotification_Info"			"פרסם:"
"Friends_GameInvitation_Info"				"הזמין אותך לשחק"
"Friends_ChatNoTextNotification_Info"		"שלח לך הודעה"
"Friends_BroadcastChannelLive"		"משדר עכשיו ב-SteamTV"

"Friends_OnlineNotification_Hotkey"		"לחץ על %hotkey% לצפייה"
"Friends_InviteNotification_Hotkey"		"לחץ על %hotkey% לצפייה"
"Friends_ChatNotification_Hotkey"			"לחץ על %hotkey% להשיב"

"Friends_PlayersDialog_Title"				"שחקנים"
"Friends_CurrentPlayers_TabTitle"			"משחק נוכחי"
"Friends_RecentPlayers_TabTitle"			"משחקים אחרונים"
"Friends_AddPlayerAsFriend"				"הוסף חבר..."
"Friends_NoRecentlyPlayedWithUsers"		"לא שיחקת לאחרונה במשחקי Steam עם אף אחד."
"Friends_NoCurrentlyPlayedWithUsers"		"אין משתמשי Steam שדווחו על ידי שרת המשחק."
"Friends_PlayerName"						"שם פרופיל"
"Friends_SteamIDURLHeader"				"פרופיל Steam"
"Friends_PlayerRelationship"				"יחסים"
"Friends_PlayedWithGame"					"משחק"
"Friends_PlayedWithTime"					"זמן"
"Friends_PlayerFriend"					"חבר"
"Friends_SteamIDPage"						"פרופיל"

"Friends_InvitesAvailable_Title"			"חברים - הזמנות"
"Friends_InvitesAvailable_Info"			"יש לך %groups% הזמנה לקבוצה ממתינה."
"Friends_InvitesAvailable_InfoPlural"		"יש לך %groups% הזמנות לקבוצות ממתינות."
"Friends_InvitesAvailable_Info2"			"יש לך %friends% הזמנה מחבר ממתינה."
"Friends_InvitesAvailable_Info2Plural"	"יש לך %friends% הזמנות מחברים ממתינות."
"Friends_InvitesAvailable_Info3"			"יש לך %friends% הזמנה/ות מחברים ו-%groups% הזמנה/ות לקבוצות ממתינות."
"Friends_InvitesAvailable_View"			"צפה בהזמנות"


"Friends_RetryVoiceConnections"			"נסה שוב את חיבור הקול"

"Friends_AddRecentPlayerAsFriend"			"צפה במשתמשים איתם שיחקת לאחרונה"
"Friends_NotificationOptions_Title"		"אפשרויות התראה - %FriendName%"

"Friends_WhenThisFriendJoinsGame"				"כשהוא מצטרף למשחק"
